JAICHAND LAL DAGA,,,,,,,
Bills Receivable,,,,,,,
Account Group : Morbi Party,On Basis of : Due Date,,,,,,
From 1-4-2017 to 9-9-2025,Bills Status as on : 9-9-2025,,,,,,
Account,Dated,Type,Ref. No.,Ref. Amt.,Due Amt.,Due Date,Due Days
Aarko Granito LLP,26-09-2024,OpBl,3171,"33,532.00","33,532.00",26-09-2024,348
,,,Total,"33,532.00","33,532.00",,
,,,,,,,
ACCORD VITRIFIED PVT LTD,29-03-2024,OpBl,5790,37,37,29-03-2024,529
,,,"Org. Amt. 30,743.00",,,,
,,,Total,37,37,,
,,,,,,,
Adicon Ceramica Tiles Pvt Ltd,20-06-2025,SupO,2534,"38,771.00","38,771.00",20-06-2025,81
,21-06-2025,SupO,2542,"38,588.00","38,588.00",21-06-2025,80
,23-06-2025,SupO,2598,"39,231.00","39,231.00",23-06-2025,78
,,,Total,"1,16,590.00","1,16,590.00",,
,,,,,,,
Admin Vitrified Pvt Ltd,02-05-2025,SupO,989,"33,090.00","33,090.00",02-05-2025,130
,03-05-2025,SupO,1035,"32,620.00","32,620.00",03-05-2025,129
,14-05-2025,SupO,1396,"33,011.00","33,011.00",14-05-2025,118
,16-05-2025,SupO,1471,"32,855.00","32,855.00",16-05-2025,116
,06-06-2025,SupO,2115,"32,777.00","32,777.00",06-06-2025,95
,08-06-2025,SupO,2170,"32,777.00","32,777.00",08-06-2025,93
,09-06-2025,SupO,2209,"33,011.00","33,011.00",09-06-2025,92
,11-06-2025,SupO,2295,"32,855.00","32,855.00",11-06-2025,90
,,,Total,"2,62,996.00","2,62,996.00",,
,,,,,,,
Adoration Ceramica Pvt.Ltd.,27-02-2025,OpBl,6591,"34,860.00","2,759.00",27-02-2025,194
,28-02-2025,OpBl,6600,"35,532.00","35,532.00",28-02-2025,193
,01-03-2025,OpBl,6628,"29,400.00","29,400.00",01-03-2025,192
,01-03-2025,OpBl,6632,"35,280.00","35,280.00",01-03-2025,192
,06-03-2025,OpBl,6784,"29,568.00","29,568.00",06-03-2025,187
,07-03-2025,OpBl,6803,"29,988.00","17,461.00",07-03-2025,186
,16-03-2025,OpBl,6959,"34,860.00","8,260.00",16-03-2025,177
,16-03-2025,OpBl,6970,"29,652.00","29,652.00",16-03-2025,177
,17-03-2025,OpBl,6992,"35,280.00","35,280.00",17-03-2025,176
,17-03-2025,OpBl,6996,"35,868.00","35,868.00",17-03-2025,176
,01-04-2025,SupO,16,"35,179.00","35,179.00",01-04-2025,161
,01-04-2025,SupO,20,"35,137.00","35,137.00",01-04-2025,161
,01-04-2025,SupO,29,"35,028.00","35,028.00",01-04-2025,161
,02-04-2025,SupO,50,"29,820.00","29,820.00",02-04-2025,160
,02-04-2025,SupO,58,"36,372.00","36,372.00",02-04-2025,160
,02-04-2025,SupO,59,"34,860.00","34,860.00",02-04-2025,160
,02-04-2025,SupO,60,"35,616.00","35,616.00",02-04-2025,160
,03-04-2025,SupO,93,"35,868.00","35,868.00",03-04-2025,159
,03-04-2025,SupO,99,"28,812.00","28,812.00",03-04-2025,159
,19-04-2025,SupO,570,"35,028.00","35,028.00",19-04-2025,143
,19-04-2025,SupO,573,"34,810.00","34,810.00",19-04-2025,143
,20-04-2025,SupO,609,"35,280.00","35,280.00",20-04-2025,142
,21-04-2025,SupO,622,"35,364.00","35,364.00",21-04-2025,141
,21-04-2025,SupO,651,"35,616.00","35,616.00",21-04-2025,141
,22-04-2025,SupO,671,"35,028.00","35,028.00",22-04-2025,140
,24-04-2025,SupO,725,"35,448.00","35,448.00",24-04-2025,138
,24-04-2025,SupO,749,"35,448.00","35,448.00",24-04-2025,138
,25-04-2025,SupO,754,"33,852.00","33,852.00",25-04-2025,137
,25-04-2025,SupO,758,"34,860.00","34,860.00",25-04-2025,137
,26-04-2025,SupO,829,"35,784.00","35,784.00",26-04-2025,136
,26-04-2025,SupO,830,"35,280.00","35,280.00",26-04-2025,136
,04-06-2025,SupO,2050,"35,028.00","35,028.00",04-06-2025,97
,04-06-2025,SupO,2065,"35,028.00","35,028.00",04-06-2025,97
,07-06-2025,SupO,2148,"35,028.00","35,028.00",07-06-2025,94
,09-06-2025,SupO,2205,"34,860.00","34,860.00",09-06-2025,92
,11-06-2025,SupO,2296,"35,280.00","35,280.00",11-06-2025,90
,13-06-2025,SupO,2351,"35,028.00","35,028.00",13-06-2025,88
,14-06-2025,SupO,2364,"35,028.00","35,028.00",14-06-2025,87
,14-06-2025,SupO,2366,"35,280.00","35,280.00",14-06-2025,87
,17-06-2025,SupO,2448,"35,028.00","35,028.00",17-06-2025,84
,19-06-2025,SupO,2492,"35,616.00","35,616.00",19-06-2025,82
,22-06-2025,SupO,2575,"35,028.00","35,028.00",22-06-2025,79
,23-06-2025,SupO,2618,"28,980.00","28,980.00",23-06-2025,78
,,,Total,"14,73,990.00","14,02,762.00",,
,,,,,,,
Agilis Vitrified Pvt Ltd,13-05-2025,SupO,1359,"32,090.00","32,089.00",13-05-2025,119
,14-05-2025,SupO,1387,"32,401.00","32,401.00",14-05-2025,118
,15-05-2025,SupO,1455,"32,595.00","32,595.00",15-05-2025,117
,16-05-2025,SupO,1475,"32,789.00","32,789.00",16-05-2025,116
,17-05-2025,SupO,1488,"32,634.00","32,634.00",17-05-2025,115
,17-05-2025,SupO,1509,"32,401.00","32,401.00",17-05-2025,115
,18-05-2025,SupO,1538,"32,246.00","32,246.00",18-05-2025,114
,18-05-2025,SupO,1539,"32,479.00","32,479.00",18-05-2025,114
,18-05-2025,SupO,1545,"32,634.00","32,634.00",18-05-2025,114
,19-05-2025,SupO,1549,"32,556.00","32,556.00",19-05-2025,113
,19-05-2025,SupO,1571,"33,233.00","33,233.00",19-05-2025,113
,21-05-2025,SupO,1624,"32,401.00","32,401.00",21-05-2025,111
,21-05-2025,SupO,1625,"32,789.00","32,789.00",21-05-2025,111
,22-05-2025,SupO,1659,"33,178.00","33,178.00",22-05-2025,110
,23-05-2025,SupO,1667,"32,789.00","32,789.00",23-05-2025,109
,23-05-2025,SupO,1703,"32,012.00","32,012.00",23-05-2025,109
,24-05-2025,SupO,1712,"32,401.00","32,401.00",24-05-2025,108
,24-05-2025,SupO,1720,"32,774.00","32,774.00",24-05-2025,108
,25-05-2025,SupO,1753,"32,556.00","32,556.00",25-05-2025,107
,25-05-2025,SupO,1771,"33,162.00","33,162.00",25-05-2025,107
,10-06-2025,SupO,2264,"32,789.00","32,789.00",10-06-2025,91
,,,Total,"6,84,909.00","6,84,908.00",,
,,,,,,,
ALFANSO VITRIFED PVT. LTD.,02-06-2025,SupO,1986,"17,724.00","17,724.00",02-06-2025,99
,02-06-2025,SupO,1991,"17,514.00","17,514.00",02-06-2025,99
,02-06-2025,SupO,2010,"17,514.00","17,514.00",02-06-2025,99
,03-06-2025,SupO,2019,"17,514.00","17,514.00",03-06-2025,98
,03-06-2025,SupO,2038,"17,388.00","17,388.00",03-06-2025,98
,04-06-2025,SupO,2047,"17,514.00","17,514.00",04-06-2025,97
,04-06-2025,SupO,2048,"17,514.00","17,514.00",04-06-2025,97
,04-06-2025,SupO,2061,"17,514.00","17,514.00",04-06-2025,97
,06-06-2025,SupO,2117,"17,598.00","17,598.00",06-06-2025,95
,12-06-2025,SupO,2304,"17,724.00","17,724.00",12-06-2025,89
,13-06-2025,SupO,2353,"17,724.00","17,724.00",13-06-2025,88
,14-06-2025,SupO,2363,"17,724.00","17,724.00",14-06-2025,87
,14-06-2025,SupO,2368,"17,850.00","17,850.00",14-06-2025,87
,03-07-2025,SupO,2896,"12,747.00","12,747.00",03-07-2025,68
,04-07-2025,SupO,2936,"17,858.00","17,858.00",04-07-2025,67
,05-07-2025,SupO,2986,"17,724.00","17,724.00",05-07-2025,66
,06-07-2025,SupO,3034,"17,724.00","17,724.00",06-07-2025,65
,07-07-2025,SupO,3082,"17,850.00","17,850.00",07-07-2025,64
,08-07-2025,SupO,3114,"17,724.00","17,724.00",08-07-2025,63
,10-07-2025,SupO,3159,"17,724.00","17,724.00",10-07-2025,61
,,,Total,"3,48,167.00","3,48,167.00",,
,,,,,,,
ARK STONE LLP,21-04-2025,SupO,620,"18,609.00","12,014.00",21-04-2025,141
,05-05-2025,SupO,1117,"18,386.00","18,386.00",05-05-2025,127
,06-05-2025,SupO,1126,"18,609.00","18,609.00",06-05-2025,126
,06-05-2025,SupO,1139,"18,832.00","18,832.00",06-05-2025,126
,07-05-2025,SupO,1176,"18,832.00","18,832.00",07-05-2025,125
,09-05-2025,SupO,1224,"18,609.00","18,609.00",09-05-2025,123
,09-05-2025,SupO,1236,"18,698.00","18,698.00",09-05-2025,123
,10-05-2025,SupO,1253,"18,832.00","18,832.00",10-05-2025,122
,11-05-2025,SupO,1309,"18,832.00","18,832.00",11-05-2025,121
,13-05-2025,SupO,1356,"18,743.00","18,743.00",13-05-2025,119
,14-05-2025,SupO,1416,"19,046.00","19,046.00",14-05-2025,118
,15-05-2025,SupO,1447,"15,842.00","15,842.00",15-05-2025,117
,16-05-2025,SupO,1467,"18,564.00","18,564.00",16-05-2025,116
,17-05-2025,SupO,1493,"18,832.00","18,832.00",17-05-2025,115
,18-05-2025,SupO,1522,"18,609.00","18,609.00",18-05-2025,114
,18-05-2025,SupO,1540,"18,609.00","18,609.00",18-05-2025,114
,19-05-2025,SupO,1547,"18,966.00","18,966.00",19-05-2025,113
,20-05-2025,SupO,1593,"18,832.00","18,832.00",20-05-2025,112
,21-05-2025,SupO,1616,"18,832.00","18,832.00",21-05-2025,111
,23-05-2025,SupO,1662,"18,966.00","18,966.00",23-05-2025,109
,05-06-2025,SupO,2074,"18,832.00","18,832.00",05-06-2025,96
,06-06-2025,SupO,2114,"18,832.00","18,832.00",06-06-2025,95
,12-06-2025,SupO,2299,"18,431.00","18,431.00",12-06-2025,89
,15-06-2025,SupO,2379,"18,653.00","18,653.00",15-06-2025,86
